id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform,r_5,r_25,r_40,r_60,time_old format
68,In almost all cases vaccines at least reduce the severity of symptoms. Please do the responsible thing here and stop scaring people.,TomM41,9,,0:16,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:28
69,Source please! I don't believe this at all. ,lucyinurdreams,9,,0:22,pro-vaccine,0,0,0,1,1,0,,,,,,00:03:53
70,This reeks of trolling. Vaccines WORK.,BeardedMatt,9,,2:59,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:44
71,Exactly! I'll literally never understand....,MannyDL34,10,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:08
72,Stop👏Vaccines👏',sweetpea,10,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:41
73,Tell me about it! I'm with you #vaccinechoice,mateoV,10,,4:26,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:16
74,.....are you serious? if you are really that clueless on how vaccines work please get off social media,TomM41,10,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:23
75,That's how you get the immunity tho.... you do know that right?,BeardedMatt,10,,0:06,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:27
76,Oh are you an infectious disease expert now? Please don't spread fear around a subject you clearly know nothing about,MedicalRyan,10,,2:33,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:54
77,There's a lot of information online about the potential side effects of vaccines!!! Be sure to share that with her,sweetpea,11,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:12
78,"Oof I'm so sorry your friend is going through that, I wish more people were aware of the situations they were putting themselves in",mateoV,11,,0:07,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:33
79,Why am I not suprised. It's the damn vaccines!!!,artisanalways,11,,0:13,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:08
80,When I stopped getting the flu vaccine I stopped getting sick. I bet the same would happen for your friend,ria_camiii,11,,3:24,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:55
81,If she can get vaccinated health issues are all the more reason to!!! She should keep doing what she's doing,BeardedMatt,11,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:15
82,If you were really her friend you wouldn't misinform her with innacurate facts on the harms of vaccines,MedicalRyan,11,,0:10,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:50
83,Do you not realize that there could be like a million different other reasons why she gets sick often? Not getting a vaccine won't solve all of your problems. ,lucyinurdreams,11,,0:19,pro-vaccine,0,0,0,1,1,0,,,,,,0:00:10
84,I don't know how to make people understand that vaccines. save. lives.,Lisa181818,11,,2:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:05
85,All-natural immune systems in my household 🥰,mateoV,12,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:15
86,THANK YOU! I wish more people realized this,artisanalways,12,,0:14,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:18
87,Amen! Never letting all those chemicals interfere with my body's natural functions,Jcole9,12,,4:56,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:34
88,Please don't post this nonsense if you have no idea how immunizations work,MedicalRyan,12,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:47
89,I'm banging my head against the wall after reading this ,mariaann,12,,0:09,pro-vaccine,0,0,0,1,1,0,,,,,,00:01:55
90,I feel bad for your kids .......,ayoitsayo,12,,0:16,pro-vaccine,0,0,0,1,1,0,,,,,,0:02:10
91,"This is just pure ignorance, do you not understand that the actual virus would be so much worse? ",clayton.myers,12,,0:19,pro-vaccine,0,0,0,1,1,0,,,,,,0:00:10
92,"Vaccines build immunity by exposing you to the virus. You know, like if you got sick, how you are suggesting.... learn your facts for crying out loud",Lisa181818,12,,0:24,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:36
93,I don't even know where to start with this one... please do some research on how vaccines work I think you might be surprised,this_jack,12,,3:29,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:11
94,"For real! People so afraid of getting sick these days, their desperate enough to inject themselves with who knows what",artisanalways,13,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:34
95,Let your kids live!! Myself and generations before me did just fine without vaccines,Jcole9,13,,0:16,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:54
96,Exactly! Who do these parents think they are making such life altering decisions for their (sometimes adult) children!,_aikira_,13,,2:29,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:44
97,"You do know we're talking about deadly disease, not colds, right?",Lisa181818,13,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:22
98,"Please take five minutes out of your life and look up the ACTIVE ingredients in vaccines. They all serve an important purpose, and they are harmless",this_jack,13,,0:14,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:06
99,"Stop minimizing the benefits of vaccines. They don't just stop colds, they save lives.",PatelS,13,,2:47,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:00
100,Exactly! When are people gonna realize they're all just pawns,Jcole9,14,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:34
101,This is why I don't get vaccinated. You're telling me I actually need ALL of those shots?? Unlikely,_aikira_,14,,0:06,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:33
102,"I had to switch doctor's because of this. Kept trying to tell me what's good for me, what does he actually know?",mateoV,14,,0:19,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:55
103,That's right! Don't trust big pharma!!!!,lee.alexa,14,,3:24,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:32
104,Your doctor went throught YEARS of schooling and training. I'll trust them any day over random social media trolls,this_jack,14,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:24
105,"I expect you to trust your doctor because they are the experts. Yes, I do actually expect that of you.",PatelS,14,,0:07,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:13
106,Can't get over how INEXCUSABLY irresponsible it is for you to build distrust of physicians like this,DonDonDonna,14,,4:51,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:19
107,Have you read through all the risks? Truly terrifying,_aikira_,15,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:52
108,"One of the many reasons I don't vaccinate my kids, or myself",lee.alexa,15,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:34
109,"This is what I have yet to understand. And, what if it turns out I am immunocompromised? Even worse",kittycatbakes,15,,0:21,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:55
110,"Been saying this for YEARS. Don't understand how doctors can say vaccines are perfectly fine for some of us, but too risky for others",ria_camiii,15,,3:52,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:39
111,"Are you serious? Yes, your body is stronger than some others. It makes perfet sense for you to get vaccinated.",PatelS,15,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:05:02
112,"LOL what, you need to look up the definition of immuno-compromised ",Lisa181818,15,,0:11,pro-vaccine,0,0,0,1,1,0,,,,,,00:00:55
113,That's easy. Just look up the thousands of studies done on the purpose of vaccines and their positive effects. Then you'll know.,this_jack,15,,0:16,pro-vaccine,0,0,0,1,1,0,,,,,,00:01:24
114,"I don't see how this is hard to understand. Vaccines are fine for most people, if you don't have a weakened immune system vaccines are absolutely incredible",DonDonDonna,15,,0:20,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:59
115,The misinformation around vaccines has to stop. They are safe! And the work!,EmmaSmith0214,15,,2:28,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:58
116,A bunch of these are new to me. Thank you for educating all of us!!,lee.alexa,16,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:20
117,They are trying to poison all of us!!!,ria_camiii,16,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:26
118,"This is so, utterly disgusting. Stop the injections!",caffeinated,16,,2:46,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:34
119,"This is.... so illogical. You also shouldn't inject yourself with cheese, but we still eat it.",DonDonDonna,16,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:42
120,"Most of those ingredients are innactive. Until you become an expert in immunology, please don't spread false information.",EmmaSmith0214,16,,0:10,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:23
121,"This is next level ridiculous. This post is irresponsible, you're a troll and your putting people's lives in danger",B.Mike,16,,3:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:20
122,Oh no!!! There are a lot of resources online that will explain the risks. I recommend having him look through those!,ria_camiii,17,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:13
123,Good for you for helping your husband through this :) gotta keep family safe!,caffeinated,17,,0:12,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:55
124,"Oh god, if my husband did that I would be furious. He knows how I feel about vaccines. ",casssssssssie,17,,0:15,anti-vaccine,0,1,1,0,0,1,,,,,,00:01:24
125,"Maybe it's time for a new husband... Just kidding lol but that's awful! Good luck, maybe he will come to his senses soon!",lee.alexa,17,,0:19,anti-vaccine,0,1,1,0,0,1,,,,,,00:08:40
126,Stay strong!!! Don't get the shot you got this ❤️,earthpulse,17,,4:23,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:19
127,Glad someone in your family is logical. Hopefully your husband can educate you on this,EmmaSmith0214,17,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:40
128,"Yeah, you can tell him ""thank you""",this_jack,17,,0:05,pro-vaccine,0,0,0,1,1,0,,,,,,00:02:23
129,I'm happy at least one of you isn't incompetent ,DonDonDonna,17,,0:07,pro-vaccine,0,0,0,1,1,0,,,,,,00:04:20
130,Take one from your husband. Get vaccinated. Help us achieve herd immunity.,B.Mike,17,,0:15,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:45
131,Yeah I have some advice: YOU GET VACCINATED TOO.,mariaann,17,,2:33,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:14
132,That's right we decide for ourselves!!,caffeinated,18,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:22
133,Vaccine freedom!!!! No more mandates it's our business that's right!,earthpulse,18,,0:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:00
134,"People are always trying to force their beliefs on you, its the worst",breathe_in,18,,0:12,anti-vaccine,0,1,1,0,0,1,,,,,,00:00:55
135,I know right? It makes me not want to mention my stance on vaccines whenever the topic comes up. All i get is judgement :( ,lavenderrrrrr,18,,0:13,anti-vaccine,0,1,1,0,0,1,,,,,,00:02:23
136,Good for you! I'm sure if more people did their research you wouldn't be experiencing as much of a push back :),casssssssssie,18,,3:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:07
137,"Uhhhh where are you doing your research? I'll stick with what the experts tell me, thanks. Vaccines work.",B.Mike,18,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:21
138,"It becomes my business when your ""beliefs"" endanger others.",mariaann,18,,0:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:20
139,"Good cuz I don't wanna debate you either. You're clearly not willing to educate yourself, but I wish you were because it could save lives",thisisalfie1998,18,,4:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:00:36
140,Honestly never thought of it this way before. That's a really good (and concerning) point about physicians' incentives,earthpulse,19,,0:01,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:04
141,Mother knows best 🥰 I'm with you 100%,casssssssssie,19,,0:14,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:45
142,RT!!!,breethebaker,19,,2:19,anti-vaccine,0,1,1,0,0,1,1,,,,,00:07:37
143,You mock their expertise when they went to school for YEARS for this very thing. You're disgusting.,mariaann,19,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:42
144,"You're not concerned about doctor's incentives, you still go there for check ups. You're just a troll looking to scare people",thisisalfie1998,19,,0:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:56
145,Posts like these are so irresponsible. Absolutely ridiculous.,KatieeeM,19,,3:17,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:34
146,Right?? There's so much information on this!!! Don't know why more people don't pay attention,casssssssssie,20,,0:03,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:46
147,EXACTLY!,breethebaker,20,,0:12,anti-vaccine,0,1,1,0,0,1,1,,,,,00:04:39
148,My heart goes out to the people that don't understand this and are putting their kids at risk ,Sue_S,20,,0:23,anti-vaccine,0,1,1,0,0,1,,,,,,00:00:55
149,More people need to realize this,kittycatbakes,20,,4:08,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:21
150,Oh my god. You realize the doctor who published this had his medical license REVOKED?? It's completely baseless,thisisalfie1998,20,,0:02,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:05
151,You must love fairytales if you believe something as fake as this,chefricky,20,,0:15,pro-vaccine,0,0,0,1,1,0,,,,,,00:02:23
152,This has been debunked literally so many times. You are actively spreading lies,KatieeeM,20,,0:18,pro-vaccine,0,0,0,1,1,0,0,,,,,00:01:06
153,It's widely known this is untrue. Show some responsibility for once and don't spread lies.,TimBJenkins,20,,2:27,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:30
154,Exactly!! Some people's priorities are absolutely baffling,breethebaker,21,,0:02,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:35
155,Rt if you're not afraid of the flu,kittycatbakes,21,,0:16,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:14
156,Sniff sniff ,snowbird,21,,0:20,anti-vaccine,0,1,1,0,0,1,,,,,,00:00:55
157,That's right! No more chemicals in our bodies!,localewis,21,,3:57,anti-vaccine,0,1,1,0,0,1,1,,,,,00:06:55
158,"Didn't realize life threathening illnesses could now be classified as ""sniffles"". Vaccines. Save. Lives.",KatieeeM,21,,0:05,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:57
159,"It's amazing how afraid people are of the word ""chemicals"". Literally everything is made of chemicals.",TimBJenkins,21,,0:13,pro-vaccine,0,0,0,1,1,0,0,,,,,00:08:55
160,Can't express how irresponsible it is to spread misinformed fear like this. Just stop.,jiruletheworld,21,,4:39,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:35
161,Sharing with my friends! More people need to understand this!,kittycatbakes,22,,0:05,anti-vaccine,0,1,1,0,0,1,1,,,,,00:00:30
162,Time we stand up to Big Pharma!,localewis,22,,0:06,anti-vaccine,0,1,1,0,0,1,1,,,,,00:03:39
163,I so agree. Can't just blindly except these vaccines anymore!!,jupiterpride,22,,2:35,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:11
164,"Doctors go through years of training, and then take an oath. There is no one better equipped to help you",TimBJenkins,22,,0:04,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:12
165,I think you need to get off the internet ,dana84,22,,0:17,pro-vaccine,0,0,0,1,1,0,,,,,,00:00:55
166,"You do realize pharamacists are also people, right? Not mindless evil minions for ""big pharma"" ",mewranda,22,,0:19,pro-vaccine,0,0,0,1,1,0,,,,,,00:02:23
167,This is so irresponsible. Honestly disgusting you would encourage distrust of doctors like this,jiruletheworld,22,,0:22,pro-vaccine,0,0,0,1,1,0,0,,,,,00:04:50
168,Blocked. I can't deal with nonsense like this on my page,ayoitsayo,22,,2:09,pro-vaccine,0,0,0,1,1,0,0,,,,,00:09:39
169,Same here! many decades and better off without the shots 💪,localewis,23,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:09:16
170,That's right! Time to normalize natural immunity for kids!,jupiterpride,23,,0:18,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:34
171,No more vaccines!!!!,breathe_in,23,,4:15,anti-vaccine,0,1,1,0,0,1,1,,,,,00:08:48
172,"I'm glad your family was fortunate enough to survive, but your experiences do not speak for all. Vaccines have done tremendous good for many people",jiruletheworld,23,,0:01,pro-vaccine,0,0,0,1,1,0,0,,,,,00:06:07
173,Generalizations like this are dangerous.,ayoitsayo,23,,0:14,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:06
174,Doesn't it scare you that even one bad strain of a virus could wipe your entire family out? ,masterchefterry,23,,0:17,pro-vaccine,0,0,0,1,1,0,,,,,,00:00:55
175,I hope future generations will be wiser and more cautious than you. Your pointlessly endangering yourself,sweetietooth,23,,3:28,pro-vaccine,0,0,0,1,1,0,0,,,,,00:02:10
176,Oh no!!! Sending my best I'm so sorry this happened,jupiterpride,24,,0:04,anti-vaccine,0,1,1,0,0,1,1,,,,,00:05:43
177,Damn rebellious teens thinking they know what's best... one day he'll understand!!,breathe_in,24,,0:09,anti-vaccine,0,1,1,0,0,1,1,,,,,00:01:26
178,Sending love ❤️ there are lots of websites that can teach your son about the risks!!,jackrussellmom,24,,2:17,anti-vaccine,0,1,1,0,0,1,1,,,,,00:02:28
179,"Good for him, vaccines are the right thing to do",ayoitsayo,24,,0:03,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:55
180,I admire your son for making responsible decisions for himself. You should respect that too,sweetietooth,24,,0:19,pro-vaccine,0,0,0,1,1,0,0,,,,,00:03:39
181,Smart boy. Vaccines WORK and are SAFE.,dana84,24,,4:38,pro-vaccine,0,0,0,1,1,0,0,,,,,00:07:22
