id,body,actor,reply,class,time,category,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform
40,"1 person per MILLION. You'd seriously rather risk life threatening, PREVENTABLE disease?",SamTHEMAN,5,,00:09:50,pro-vaccine,0,0,0,1,1,0,0
41,"You really only need to worry if you're in that ""at risk"" column. And that column is the exact reason the rest of us should get vaccinated; to protect them.",Marcymaniac,5,,00:03:53,pro-vaccine,0,0,0,1,1,0,0
42,This is nothing but fear mongering and you know it,HP743,5,,00:05:33,anti-vaccine,0,1,1,0,0,1,1
43,"Great read! 10 stars for sure, love all of the information",ancho-n-cayenne,6,,00:04:29,anti-vaccine,0,1,1,0,0,1,1
44,I've been looking for something like this!! I knew there must be healthier alternatives,john73,6,,00:07:18,anti-vaccine,0,1,1,0,0,1,1
45,"Love this so much, thank you!! Reject the poison shots!",coachmatthews,6,,00:04:22,pro-vaccine,0,0,0,1,1,0,0
46,"We live in the 21st century with modern solutions, and y'all really move backward and go back to this disease??",Marcymaniac,6,,00:07:46,pro-vaccine,0,0,0,1,1,0,0
47,"Never heard of the author. Always check your sources people, trust FACTS not FICTION",MedicalRyan,6,,0:03:40,pro-vaccine,0,0,0,1,1,0,
48,"Oh great, the anti-vaxxers have a bible now ",jiruletheworld,6,,0:02:10,pro-vaccine,0,0,0,1,1,0,
49,I don't ~need~ a vaccine the same way I don't ~need~ a cast if I break my arm. Doesn't mean it's smart to skip,HP743,6,,00:01:55,anti-vaccine,0,1,1,0,0,1,1
50,"You're telling me you actually read that book and actually follow it cover to cover? Highly doubt it, you're just a troll trying to sow doubt in vaccines",southerngirlCel,6,,00:08:09,anti-vaccine,0,1,1,0,0,1,1
51,I didn't even know about half of these!! Honestly the more I learn the more terrified I am,john73,7,,00:00:28,pro-vaccine,0,0,0,1,1,0,0
52,This makes me so sick... all those animal parts?? BIG pass,coachmatthews,7,,00:08:35,pro-vaccine,0,0,0,1,1,0,0
53,"Yes, exactly. I wasn't vaccinated and I'm doing just fine, at least if I'm exposed to the real thing I'll know exactly what I'm dealing with, and not some list of terrible ingredients!",breethebaker,7,,00:02:20,anti-vaccine,0,1,1,0,0,1,
54,Definitely sharing this with my friends.... more people need to know!,NoahM1121,7,,00:08:41,anti-vaccine,0,1,1,0,0,1,1
55,Ask any physician and they'll be able to explain the purpose these ingredients serve and why they're harmless. Stop this misinformation,HP743,7,,00:05:44,anti-vaccine,0,1,1,0,0,1,1
56,"The wording in this photo screams desparation, the fear mongering here is honestly disgusting and just false",southerngirlCel,7,,00:00:03,anti-vaccine,0,1,1,0,0,1,1
57,"Maybe do your research before posting any random photo on the internet. A quick google search will explain this ""information"" is intentionally misleading",BossmanRy,7,,00:00:49,pro-vaccine,0,0,0,1,1,0,0
58,I'm going through the same thing!! So so so frustrating,coachmatthews,8,,00:04:55,pro-vaccine,0,0,0,1,1,0,0
59,"You can get exemption!! Talk to the school they should tell you how, don't just give in :)",NoahM1121,8,,00:03:58,pro-vaccine,0,0,0,1,1,0,0
60,Honestly hate that these mandates still exist. You go!!!,MannyDL34,8,,00:00:55,anti-vaccine,0,1,1,0,0,1,1
61,Counter argument: you could just do the responsible thing and get your kid vaccinated,southerngirlCel,8,,00:08:17,anti-vaccine,0,1,1,0,0,1,1
62,"These rules exist for a reason, it's for everyone's health. Try to be less selfish please",BossmanRy,8,,00:08:12,anti-vaccine,0,1,1,0,0,1,1
63,"You really out here causing an uproar over a completely reasonable, safety ensuring request? Just get the damn vaccine",TomM41,8,,00:00:09,pro-vaccine,0,0,0,1,1,0,0
64,All these side effects and they actually expect us to ignore them for a treatment that only might work. I'm over these vaccines!,NoahM1121,9,,00:02:20,pro-vaccine,0,0,0,1,1,0,0
65,This is what I keep saying!!!,MannyDL34,9,,00:09:24,pro-vaccine,0,0,0,1,1,0,0
66,It's honestly embarrassing. Time to cancel vaccines!,sweetpea,9,,00:07:58,anti-vaccine,0,1,1,0,0,1,1
67,"If people are immunocompromised, the vaccine may reduce symptoms but may not be completely effective. We already know this. Don't spread misinformation when you clearly don't know your facts.",BossmanRy,9,,00:00:14,anti-vaccine,0,1,1,0,0,1,1
68,In almost all cases vaccines at least reduce the severity of symptoms. Please do the responsible thing here and stop scaring people.,TomM41,9,,00:08:28,anti-vaccine,0,1,1,0,0,1,1
69,Source please! I don't believe this at all. ,lucyinurdreams,9,,00:03:53,pro-vaccine,0,0,0,1,1,0,
70,This reeks of trolling. Vaccines WORK.,BeardedMatt,9,,00:00:44,pro-vaccine,0,0,0,1,1,0,0
71,Exactly! I'll literally never understand....,MannyDL34,10,,00:08:08,pro-vaccine,0,0,0,1,1,0,0
72,Stop👏Vaccines👏',sweetpea,10,,00:05:41,anti-vaccine,0,1,1,0,0,1,1
73,Tell me about it! I'm with you #vaccinechoice,mateoV,10,,00:02:16,anti-vaccine,0,1,1,0,0,1,1
74,.....are you serious? if you are really that clueless on how vaccines work please get off social media,TomM41,10,,00:04:23,anti-vaccine,0,1,1,0,0,1,1
75,That's how you get the immunity tho.... you do know that right?,BeardedMatt,10,,00:06:27,pro-vaccine,0,0,0,1,1,0,0
76,Oh are you an infectious disease expert now? Please don't spread fear around a subject you clearly know nothing about,MedicalRyan,10,,00:08:54,pro-vaccine,0,0,0,1,1,0,0
77,There's a lot of information online about the potential side effects of vaccines!!! Be sure to share that with her,sweetpea,11,,00:04:12,pro-vaccine,0,0,0,1,1,0,0
78,"Oof I'm so sorry your friend is going through that, I wish more people were aware of the situations they were putting themselves in",mateoV,11,,00:07:33,anti-vaccine,0,1,1,0,0,1,1
79,Why am I not suprised. It's the damn vaccines!!!,artisanalways,11,,00:07:08,anti-vaccine,0,1,1,0,0,1,1
80,When I stopped getting the flu vaccine I stopped getting sick. I bet the same would happen for your friend,ria_camiii,11,,00:01:55,anti-vaccine,0,1,1,0,0,1,
81,If she can get vaccinated health issues are all the more reason to!!! She should keep doing what she's doing,BeardedMatt,11,,00:06:15,pro-vaccine,0,0,0,1,1,0,0
82,If you were really her friend you wouldn't misinform her with innacurate facts on the harms of vaccines,MedicalRyan,11,,00:02:50,pro-vaccine,0,0,0,1,1,0,0
83,Do you not realize that there could be like a million different other reasons why she gets sick often? Not getting a vaccine won't solve all of your problems. ,lucyinurdreams,11,,0:00:10,pro-vaccine,0,0,0,1,1,0,
84,I don't know how to make people understand that vaccines. save. lives.,Lisa181818,11,,00:06:05,anti-vaccine,0,1,1,0,0,1,1
85,All-natural immune systems in my household 🥰,mateoV,12,,00:04:15,anti-vaccine,0,1,1,0,0,1,1
86,THANK YOU! I wish more people realized this,artisanalways,12,,00:06:18,anti-vaccine,0,1,1,0,0,1,1
87,Amen! Never letting all those chemicals interfere with my body's natural functions,Jcole9,12,,00:05:34,pro-vaccine,0,0,0,1,1,0,0
88,Please don't post this nonsense if you have no idea how immunizations work,MedicalRyan,12,,00:08:47,pro-vaccine,0,0,0,1,1,0,0
89,I'm banging my head against the wall after reading this ,mariaann,12,,00:01:55,pro-vaccine,0,0,0,1,1,0,
90,I feel bad for your kids .......,ayoitsayo,12,,0:02:10,pro-vaccine,0,0,0,1,1,0,
91,"This is just pure ignorance, do you not understand that the actual virus would be so much worse? ",clayton.myers,12,,0:00:10,pro-vaccine,0,0,0,1,1,0,
92,"Vaccines build immunity by exposing you to the virus. You know, like if you got sick, how you are suggesting.... learn your facts for crying out loud",Lisa181818,12,,00:06:36,anti-vaccine,0,1,1,0,0,1,1
93,I don't even know where to start with this one... please do some research on how vaccines work I think you might be surprised,this_jack,12,,00:04:11,pro-vaccine,0,0,0,1,1,0,0
94,"For real! People so afraid of getting sick these days, their desperate enough to inject themselves with who knows what",artisanalways,13,,00:06:34,pro-vaccine,0,0,0,1,1,0,0
95,Let your kids live!! Myself and generations before me did just fine without vaccines,Jcole9,13,,00:03:54,pro-vaccine,0,0,0,1,1,0,0
96,Exactly! Who do these parents think they are making such life altering decisions for their (sometimes adult) children!,_aikira_,13,,00:01:44,anti-vaccine,0,1,1,0,0,1,1
97,"You do know we're talking about deadly disease, not colds, right?",Lisa181818,13,,00:01:22,anti-vaccine,0,1,1,0,0,1,1
98,"Please take five minutes out of your life and look up the ACTIVE ingredients in vaccines. They all serve an important purpose, and they are harmless",this_jack,13,,00:05:06,anti-vaccine,0,1,1,0,0,1,1
99,"Stop minimizing the benefits of vaccines. They don't just stop colds, they save lives.",PatelS,13,,00:04:00,pro-vaccine,0,0,0,1,1,0,0
100,Exactly! When are people gonna realize they're all just pawns,Jcole9,14,,00:05:34,pro-vaccine,0,0,0,1,1,0,0
101,This is why I don't get vaccinated. You're telling me I actually need ALL of those shots?? Unlikely,_aikira_,14,,00:04:33,pro-vaccine,0,0,0,1,1,0,0
102,"I had to switch doctor's because of this. Kept trying to tell me what's good for me, what does he actually know?",mateoV,14,,00:01:55,anti-vaccine,0,1,1,0,0,1,
103,That's right! Don't trust big pharma!!!!,lee.alexa,14,,00:02:32,anti-vaccine,0,1,1,0,0,1,1
104,Your doctor went throught YEARS of schooling and training. I'll trust them any day over random social media trolls,this_jack,14,,00:01:24,anti-vaccine,0,1,1,0,0,1,1
105,"I expect you to trust your doctor because they are the experts. Yes, I do actually expect that of you.",PatelS,14,,00:06:13,pro-vaccine,0,0,0,1,1,0,0
106,Can't get over how INEXCUSABLY irresponsible it is for you to build distrust of physicians like this,DonDonDonna,14,,00:06:19,pro-vaccine,0,0,0,1,1,0,0
107,Have you read through all the risks? Truly terrifying,_aikira_,15,,00:07:52,pro-vaccine,0,0,0,1,1,0,0
108,"One of the many reasons I don't vaccinate my kids, or myself",lee.alexa,15,,00:01:34,anti-vaccine,0,1,1,0,0,1,1
109,"This is what I have yet to understand. And, what if it turns out I am immunocompromised? Even worse",kittycatbakes,15,,00:01:55,anti-vaccine,0,1,1,0,0,1,
110,"Been saying this for YEARS. Don't understand how doctors can say vaccines are perfectly fine for some of us, but too risky for others",ria_camiii,15,,00:05:39,anti-vaccine,0,1,1,0,0,1,1
111,"Are you serious? Yes, your body is stronger than some others. It makes perfet sense for you to get vaccinated.",PatelS,15,,00:05:02,pro-vaccine,0,0,0,1,1,0,0
112,"LOL what, you need to look up the definition of immuno-compromised ",Lisa181818,15,,00:00:55,pro-vaccine,0,0,0,1,1,0,
113,That's easy. Just look up the thousands of studies done on the purpose of vaccines and their positive effects. Then you'll know.,this_jack,15,,00:01:24,pro-vaccine,0,0,0,1,1,0,
114,"I don't see how this is hard to understand. Vaccines are fine for most people, if you don't have a weakened immune system vaccines are absolutely incredible",DonDonDonna,15,,00:01:59,anti-vaccine,0,1,1,0,0,1,1
115,The misinformation around vaccines has to stop. They are safe! And the work!,EmmaSmith0214,15,,00:07:58,anti-vaccine,0,1,1,0,0,1,1
116,A bunch of these are new to me. Thank you for educating all of us!!,lee.alexa,16,,00:00:20,anti-vaccine,0,1,1,0,0,1,1
117,They are trying to poison all of us!!!,ria_camiii,16,,00:01:26,pro-vaccine,0,0,0,1,1,0,0
118,"This is so, utterly disgusting. Stop the injections!",caffeinated,16,,00:08:34,pro-vaccine,0,0,0,1,1,0,0
119,"This is.... so illogical. You also shouldn't inject yourself with cheese, but we still eat it.",DonDonDonna,16,,00:08:42,pro-vaccine,0,0,0,1,1,0,0
120,"Most of those ingredients are innactive. Until you become an expert in immunology, please don't spread false information.",EmmaSmith0214,16,,00:02:23,anti-vaccine,0,1,1,0,0,1,1
121,"This is next level ridiculous. This post is irresponsible, you're a troll and your putting people's lives in danger",B.Mike,16,,00:04:20,anti-vaccine,0,1,1,0,0,1,1
122,Oh no!!! There are a lot of resources online that will explain the risks. I recommend having him look through those!,ria_camiii,17,,00:05:13,anti-vaccine,0,1,1,0,0,1,1
123,Good for you for helping your husband through this :) gotta keep family safe!,caffeinated,17,,00:00:55,pro-vaccine,0,0,0,1,1,0,0
124,"Oh god, if my husband did that I would be furious. He knows how I feel about vaccines. ",casssssssssie,17,,00:01:24,anti-vaccine,0,1,1,0,0,1,
125,"Maybe it's time for a new husband... Just kidding lol but that's awful! Good luck, maybe he will come to his senses soon!",lee.alexa,17,,00:08:40,anti-vaccine,0,1,1,0,0,1,
126,Stay strong!!! Don't get the shot you got this ❤️,earthpulse,17,,00:06:19,anti-vaccine,0,1,1,0,0,1,1
127,Glad someone in your family is logical. Hopefully your husband can educate you on this,EmmaSmith0214,17,,00:08:40,anti-vaccine,0,1,1,0,0,1,1
128,"Yeah, you can tell him ""thank you""",this_jack,17,,00:02:23,pro-vaccine,0,0,0,1,1,0,
129,I'm happy at least one of you isn't incompetent ,DonDonDonna,17,,00:04:20,pro-vaccine,0,0,0,1,1,0,
130,Take one from your husband. Get vaccinated. Help us achieve herd immunity.,B.Mike,17,,00:01:45,pro-vaccine,0,0,0,1,1,0,0
131,Yeah I have some advice: YOU GET VACCINATED TOO.,mariaann,17,,00:07:14,pro-vaccine,0,0,0,1,1,0,0
132,That's right we decide for ourselves!!,caffeinated,18,,00:02:22,anti-vaccine,0,1,1,0,0,1,1
133,Vaccine freedom!!!! No more mandates it's our business that's right!,earthpulse,18,,00:05:00,anti-vaccine,0,1,1,0,0,1,1
134,"People are always trying to force their beliefs on you, its the worst",breathe_in,18,,00:00:55,anti-vaccine,0,1,1,0,0,1,
135,I know right? It makes me not want to mention my stance on vaccines whenever the topic comes up. All i get is judgement :( ,lavenderrrrrr,18,,00:02:23,anti-vaccine,0,1,1,0,0,1,
136,Good for you! I'm sure if more people did their research you wouldn't be experiencing as much of a push back :),casssssssssie,18,,00:04:07,pro-vaccine,0,0,0,1,1,0,0
137,"Uhhhh where are you doing your research? I'll stick with what the experts tell me, thanks. Vaccines work.",B.Mike,18,,00:04:21,pro-vaccine,0,0,0,1,1,0,0
138,"It becomes my business when your ""beliefs"" endanger others.",mariaann,18,,00:06:20,anti-vaccine,0,1,1,0,0,1,1
139,"Good cuz I don't wanna debate you either. You're clearly not willing to educate yourself, but I wish you were because it could save lives",thisisalfie1998,18,,00:00:36,anti-vaccine,0,1,1,0,0,1,1
140,Honestly never thought of it this way before. That's a really good (and concerning) point about physicians' incentives,earthpulse,19,,00:01:04,anti-vaccine,0,1,1,0,0,1,1
141,Mother knows best 🥰 I'm with you 100%,casssssssssie,19,,00:02:45,pro-vaccine,0,0,0,1,1,0,0
142,RT!!!,breethebaker,19,,00:07:37,pro-vaccine,0,0,0,1,1,0,0
143,You mock their expertise when they went to school for YEARS for this very thing. You're disgusting.,mariaann,19,,00:08:42,pro-vaccine,0,0,0,1,1,0,0
144,"You're not concerned about doctor's incentives, you still go there for check ups. You're just a troll looking to scare people",thisisalfie1998,19,,00:07:56,anti-vaccine,0,1,1,0,0,1,1
145,Posts like these are so irresponsible. Absolutely ridiculous.,KatieeeM,19,,00:03:34,anti-vaccine,0,1,1,0,0,1,1
146,Right?? There's so much information on this!!! Don't know why more people don't pay attention,casssssssssie,20,,00:01:46,anti-vaccine,0,1,1,0,0,1,1
147,EXACTLY!,breethebaker,20,,00:04:39,pro-vaccine,0,0,0,1,1,0,0
148,My heart goes out to the people that don't understand this and are putting their kids at risk ,Sue_S,20,,00:00:55,anti-vaccine,0,1,1,0,0,1,
149,More people need to realize this,kittycatbakes,20,,00:06:21,pro-vaccine,0,0,0,1,1,0,0
150,Oh my god. You realize the doctor who published this had his medical license REVOKED?? It's completely baseless,thisisalfie1998,20,,00:07:05,anti-vaccine,0,1,1,0,0,1,1
151,You must love fairytales if you believe something as fake as this,chefricky,20,,00:02:23,pro-vaccine,0,0,0,1,1,0,
152,This has been debunked literally so many times. You are actively spreading lies,KatieeeM,20,,00:01:06,anti-vaccine,0,1,1,0,0,1,1
153,It's widely known this is untrue. Show some responsibility for once and don't spread lies.,TimBJenkins,20,,00:04:30,pro-vaccine,0,0,0,1,1,0,0
154,Exactly!! Some people's priorities are absolutely baffling,breethebaker,21,,00:01:35,pro-vaccine,0,0,0,1,1,0,0
155,Rt if you're not afraid of the flu,kittycatbakes,21,,00:06:14,pro-vaccine,0,0,0,1,1,0,0
156,Sniff sniff ,snowbird,21,,00:00:55,anti-vaccine,0,1,1,0,0,1,
157,That's right! No more chemicals in our bodies!,localewis,21,,00:06:55,anti-vaccine,0,1,1,0,0,1,1
158,"Didn't realize life threathening illnesses could now be classified as ""sniffles"". Vaccines. Save. Lives.",KatieeeM,21,,00:03:57,anti-vaccine,0,1,1,0,0,1,1
159,"It's amazing how afraid people are of the word ""chemicals"". Literally everything is made of chemicals.",TimBJenkins,21,,00:08:55,pro-vaccine,0,0,0,1,1,0,0
160,Can't express how irresponsible it is to spread misinformed fear like this. Just stop.,jiruletheworld,21,,00:06:35,pro-vaccine,0,0,0,1,1,0,0
161,Sharing with my friends! More people need to understand this!,kittycatbakes,22,,00:00:30,pro-vaccine,0,0,0,1,1,0,0
162,Time we stand up to Big Pharma!,localewis,22,,00:03:39,anti-vaccine,0,1,1,0,0,1,1
163,I so agree. Can't just blindly except these vaccines anymore!!,jupiterpride,22,,00:09:11,anti-vaccine,0,1,1,0,0,1,1
164,"Doctors go through years of training, and then take an oath. There is no one better equipped to help you",TimBJenkins,22,,00:04:12,anti-vaccine,0,1,1,0,0,1,1
165,I think you need to get off the internet ,dana84,22,,00:00:55,pro-vaccine,0,0,0,1,1,0,
166,"You do realize pharamacists are also people, right? Not mindless evil minions for ""big pharma"" ",mewranda,22,,00:02:23,pro-vaccine,0,0,0,1,1,0,
167,This is so irresponsible. Honestly disgusting you would encourage distrust of doctors like this,jiruletheworld,22,,00:04:50,pro-vaccine,0,0,0,1,1,0,0
168,Blocked. I can't deal with nonsense like this on my page,ayoitsayo,22,,00:09:39,anti-vaccine,0,1,1,0,0,1,1
169,Same here! many decades and better off without the shots 💪,localewis,23,,00:09:16,anti-vaccine,0,1,1,0,0,1,1
170,That's right! Time to normalize natural immunity for kids!,jupiterpride,23,,00:01:34,anti-vaccine,0,1,1,0,0,1,1
171,No more vaccines!!!!,breathe_in,23,,00:08:48,pro-vaccine,0,0,0,1,1,0,0
172,"I'm glad your family was fortunate enough to survive, but your experiences do not speak for all. Vaccines have done tremendous good for many people",jiruletheworld,23,,00:06:07,pro-vaccine,0,0,0,1,1,0,0
173,Generalizations like this are dangerous.,ayoitsayo,23,,00:07:06,pro-vaccine,0,0,0,1,1,0,0
174,Doesn't it scare you that even one bad strain of a virus could wipe your entire family out? ,masterchefterry,23,,00:00:55,pro-vaccine,0,0,0,1,1,0,
175,I hope future generations will be wiser and more cautious than you. Your pointlessly endangering yourself,sweetietooth,23,,00:02:10,anti-vaccine,0,1,1,0,0,1,1
176,Oh no!!! Sending my best I'm so sorry this happened,jupiterpride,24,,00:05:43,anti-vaccine,0,1,1,0,0,1,1
177,Damn rebellious teens thinking they know what's best... one day he'll understand!!,breathe_in,24,,00:01:26,pro-vaccine,0,0,0,1,1,0,0
178,Sending love ❤️ there are lots of websites that can teach your son about the risks!!,jackrussellmom,24,,00:02:28,pro-vaccine,0,0,0,1,1,0,0
179,"Good for him, vaccines are the right thing to do",ayoitsayo,24,,00:03:55,pro-vaccine,0,0,0,1,1,0,0
180,I admire your son for making responsible decisions for himself. You should respect that too,sweetietooth,24,,00:03:39,anti-vaccine,0,1,1,0,0,1,1
181,Smart boy. Vaccines WORK and are SAFE.,dana84,24,,00:07:22,anti-vaccine,0,1,1,0,0,1,1
182,Parents know what's best for their kids!!! You're so right,breathe_in,25,,00:04:01,anti-vaccine,0,1,1,0,0,1,1
183,I admire your strong will so much ❤️ keep doing you!,jackrussellmom,25,,00:02:05,pro-vaccine,0,0,0,1,1,0,0
184,"Exactly, no one can have a say in my kids future except for me, and I want the best for them!",karenM,25,,0:05:20,anti-vaccine,0,1,1,0,0,1,
185,Our children our choice! No more vaccine mandates! :),lavenderrrrrr,25,,00:00:41,pro-vaccine,0,0,0,1,1,0,0
186,You just openly admitted to not being willing to educate yourself. How can you claim to know best then?,sweetietooth,25,,00:05:42,anti-vaccine,0,1,1,0,0,1,1
187,"""Your"" decision is putting others in danger, so yeah, it is our business.",dana84,25,,00:00:20,anti-vaccine,0,1,1,0,0,1,1
188,And have my kids be at risk because of your terrible parenting? No thanks!,gwenfromtheblock,25,,00:07:22,pro-vaccine,0,0,0,1,1,0,
189,You could contribute to herd immunity by doing the responsible thing and getting your whole family vaccinated,lucyinurdreams,25,,00:03:31,pro-vaccine,0,0,0,1,1,0,0
190,Isn't it amazing how many people will just blindly trust their doctors???,jackrussellmom,26,,00:09:24,pro-vaccine,0,0,0,1,1,0,0
191,Glad SOMEONE I know is willing to take the time like me. With you!,lavenderrrrrr,26,,00:05:57,pro-vaccine,0,0,0,1,1,0,0
192,Totally on your side :),cavsforever,26,,00:07:46,anti-vaccine,0,1,1,0,0,1,1
193,"Uhh yeah, I have done research. And you sound ridiculous",dana84,26,,00:07:46,anti-vaccine,0,1,1,0,0,1,1
194,"Oh I'm sorry, are you an immunologist now? If not you should leave this to the experts",lucyinurdreams,26,,00:06:20,anti-vaccine,0,1,1,0,0,1,1
195,"You must be really gullible, huh? I bet you're one of the ignorant few that still believes that vaccines give kids autism. ",EZpz,26,,00:00:55,pro-vaccine,0,0,0,1,1,0,
196,You claim to have done research and yet present no backed facts to support your claims.....,chefricky,26,,00:03:13,pro-vaccine,0,0,0,1,1,0,0
197,"You are SUCH a good parent, gotta protect our kids!",lavenderrrrrr,27,,00:00:50,pro-vaccine,0,0,0,1,1,0,0
198,Always gotta question in my opinion!!! Who knows what's in vaccines,cavsforever,27,,00:05:29,anti-vaccine,0,1,1,0,0,1,1
199,Admire you for taking a stand against those corrupt doctors. Worse than politicians! ,ancho-n-cayenne,27,,00:07:22,anti-vaccine,0,1,1,0,0,1,
200, Preach! 👏👏👏,snowbird,27,,00:02:05,anti-vaccine,0,1,1,0,0,1,
201,Never forget how big pharma incentivizes doctors!,wiz_khaleesi,27,,00:08:36,pro-vaccine,0,0,0,1,1,0,0
202,"You can literally look up the vaccine ingredients if you want.... there's nothing to hide, vaccines are safe",lucyinurdreams,27,,00:04:53,pro-vaccine,0,0,0,1,1,0,0
203,Having kids doesn't make you an infectious disease expert.,chefricky,27,,00:00:55,pro-vaccine,0,0,0,1,1,0,0
204,I'm at a loss for words reading idiotic posts like these,aleeboi,27,,00:07:46,pro-vaccine,0,0,0,1,1,0,
